Date,Home,Away,Game Number,Ballpark
2026-03-28,Chicago Dragons,Dallas Rockets,3,Chicago Park
2026-03-26,Los Angeles Sharks,Kansas City Wolves,1,Los Angeles Park
2026-03-27,Los Angeles Sharks,Kansas City Wolves,2,Los Angeles Park
2026-03-28,Los Angeles Sharks,Kansas City Wolves,3,Los Angeles Park
2026-03-26,Miami Aces,Phoenix Hawks,1,Miami Park
2026-03-27,Miami Aces,Phoenix Hawks,2,Miami Park
2026-03-28,Miami Aces,Phoenix Hawks,3,Miami Park
2026-03-30,San Francisco Owls 2,Nashville Foxes,4,San Francisco Park
2026-03-31,San Francisco Owls 2,Nashville Foxes,5,San Francisco Park
2026-04-01,San Francisco Owls 2,Nashville Foxes,6,San Francisco Park
2026-03-30,New York Hawks 2,Washington Aces 2,4,New York Park
2026-03-31,New York Hawks 2,Washington Aces 2,5,New York Park
2026-04-01,New York Hawks 2,Washington Aces 2,6,New York Park
2026-03-30,Detroit Bears 2,St. Louis Owls,4,Detroit Park
2026-03-31,Detroit Bears 2,St. Louis Owls,5,Detroit Park
2026-04-01,Detroit Bears 2,St. Louis Owls,6,Detroit Park
2026-03-30,Cleveland Sharks 2,Portland Captains,4,Cleveland Park
2026-03-31,Cleveland Sharks 2,Portland Captains,5,Cleveland Park
2026-04-01,Cleveland Sharks 2,Portland Captains,6,Cleveland Park
2026-03-30,Tampa Pilots 2,Baltimore Pilots,4,Tampa Park
2026-03-31,Tampa Pilots 2,Baltimore Pilots,5,Tampa Park
2026-04-01,Tampa Pilots 2,Baltimore Pilots,6,Tampa Park
2026-03-30,San Diego Falcons 2,Austin Stars,4,San Diego Park
2026-03-31,San Diego Falcons 2,Austin Stars,5,San Diego Park
2026-04-01,San Diego Falcons 2,Austin Stars,6,San Diego Park
2026-03-30,Atlanta Captains 2,Toronto Lions,4,Atlanta Park
2026-03-31,Atlanta Captains 2,Toronto Lions,5,Atlanta Park
2026-04-01,Atlanta Captains 2,Toronto Lions,6,Atlanta Park
2026-03-30,Philadelphia Knights 2,Pittsburgh Bears,4,Philadelphia Park
2026-03-31,Philadelphia Knights 2,Pittsburgh Bears,5,Philadelphia Park
2026-04-01,Philadelphia Knights 2,Pittsburgh Bears,6,Philadelphia Park
2026-03-30,Seattle Storm 2,Charlotte Storm,4,Seattle Park
2026-03-31,Seattle Storm 2,Charlotte Storm,5,Seattle Park
2026-04-01,Seattle Storm 2,Charlotte Storm,6,Seattle Park
2026-03-30,Boston Falcons,Denver Comets,4,Boston Park
2026-03-31,Boston Falcons,Denver Comets,5,Boston Park
2026-04-01,Boston Falcons,Denver Comets,6,Boston Park
2026-03-30,Minneapolis Guardians,Houston Knights,4,Minneapolis Park
2026-03-31,Minneapolis Guardians,Houston Knights,5,Minneapolis Park
2026-04-01,Minneapolis Guardians,Houston Knights,6,Minneapolis Park
2026-03-30,Dallas Rockets,Indianapolis Anchors,4,Dallas Park
2026-03-31,Dallas Rockets,Indianapolis Anchors,5,Dallas Park
2026-04-01,Dallas Rockets,Indianapolis Anchors,6,Dallas Park
2026-03-30,Kansas City Wolves,Milwaukee Giants,4,Kansas City Park
2026-03-31,Kansas City Wolves,Milwaukee Giants,5,Kansas City Park
2026-04-01,Kansas City Wolves,Milwaukee Giants,6,Kansas City Park
2026-03-30,Phoenix Hawks,Chicago Dragons,4,Phoenix Park
2026-03-31,Phoenix Hawks,Chicago Dragons,5,Phoenix Park
2026-04-01,Phoenix Hawks,Chicago Dragons,6,Phoenix Park
2026-03-30,Miami Aces,Los Angeles Sharks,4,Miami Park
2026-03-31,Miami Aces,Los Angeles Sharks,5,Miami Park
2026-04-01,Miami Aces,Los Angeles Sharks,6,Miami Park
2026-04-03,Nashville Foxes,New York Hawks 2,7,Nashville Park
2026-04-04,Nashville Foxes,New York Hawks 2,8,Nashville Park
2026-04-05,Nashville Foxes,New York Hawks 2,9,Nashville Park
2026-04-03,San Francisco Owls 2,Detroit Bears 2,7,San Francisco Park
2026-04-04,San Francisco Owls 2,Detroit Bears 2,8,San Francisco Park
2026-04-05,San Francisco Owls 2,Detroit Bears 2,9,San Francisco Park
2026-04-03,Washington Aces 2,Cleveland Sharks 2,7,Washington Park
2026-04-04,Washington Aces 2,Cleveland Sharks 2,8,Washington Park
2026-04-05,Washington Aces 2,Cleveland Sharks 2,9,Washington Park
2026-04-03,St. Louis Owls,Tampa Pilots 2,7,St. Louis Park
2026-04-04,St. Louis Owls,Tampa Pilots 2,8,St. Louis Park
2026-04-05,St. Louis Owls,Tampa Pilots 2,9,St. Louis Park
2026-04-03,Portland Captains,San Diego Falcons 2,7,Portland Park
2026-04-04,Portland Captains,San Diego Falcons 2,8,Portland Park
2026-04-05,Portland Captains,San Diego Falcons 2,9,Portland Park
2026-04-03,Baltimore Pilots,Atlanta Captains 2,7,Baltimore Park
2026-04-04,Baltimore Pilots,Atlanta Captains 2,8,Baltimore Park
2026-04-05,Baltimore Pilots,Atlanta Captains 2,9,Baltimore Park
2026-04-03,Austin Stars,Philadelphia Knights 2,7,Austin Park
2026-04-04,Austin Stars,Philadelphia Knights 2,8,Austin Park
2026-04-05,Austin Stars,Philadelphia Knights 2,9,Austin Park
2026-04-03,Toronto Lions,Seattle Storm 2,7,Toronto Park
2026-04-04,Toronto Lions,Seattle Storm 2,8,Toronto Park
2026-04-05,Toronto Lions,Seattle Storm 2,9,Toronto Park
2026-04-03,Pittsburgh Bears,Boston Falcons,7,Pittsburgh Park
2026-04-04,Pittsburgh Bears,Boston Falcons,8,Pittsburgh Park
2026-04-05,Pittsburgh Bears,Boston Falcons,9,Pittsburgh Park
2026-04-03,Charlotte Storm,Minneapolis Guardians,7,Charlotte Park
2026-04-04,Charlotte Storm,Minneapolis Guardians,8,Charlotte Park
2026-04-05,Charlotte Storm,Minneapolis Guardians,9,Charlotte Park
2026-04-03,Denver Comets,Dallas Rockets,7,Denver Park
2026-04-04,Denver Comets,Dallas Rockets,8,Denver Park
2026-04-05,Denver Comets,Dallas Rockets,9,Denver Park
2026-04-03,Houston Knights,Kansas City Wolves,7,Houston Park
2026-04-04,Houston Knights,Kansas City Wolves,8,Houston Park
2026-04-05,Houston Knights,Kansas City Wolves,9,Houston Park
2026-04-03,Indianapolis Anchors,Phoenix Hawks,7,Indianapolis Park
2026-04-04,Indianapolis Anchors,Phoenix Hawks,8,Indianapolis Park
2026-04-05,Indianapolis Anchors,Phoenix Hawks,9,Indianapolis Park
2026-04-03,Milwaukee Giants,Miami Aces,7,Milwaukee Park
2026-04-04,Milwaukee Giants,Miami Aces,8,Milwaukee Park
2026-04-05,Milwaukee Giants,Miami Aces,9,Milwaukee Park
2026-04-03,Chicago Dragons,Los Angeles Sharks,7,Chicago Park
2026-04-04,Chicago Dragons,Los Angeles Sharks,8,Chicago Park
2026-04-05,Chicago Dragons,Los Angeles Sharks,9,Chicago Park
2026-04-07,Detroit Bears 2,Nashville Foxes,10,Detroit Park
2026-04-08,Detroit Bears 2,Nashville Foxes,11,Detroit Park
2026-04-09,Detroit Bears 2,Nashville Foxes,12,Detroit Park
2026-04-07,Cleveland Sharks 2,New York Hawks 2,10,Cleveland Park
2026-04-08,Cleveland Sharks 2,New York Hawks 2,11,Cleveland Park
2026-04-09,Cleveland Sharks 2,New York Hawks 2,12,Cleveland Park
2026-04-07,Tampa Pilots 2,San Francisco Owls 2,10,Tampa Park
2026-04-08,Tampa Pilots 2,San Francisco Owls 2,11,Tampa Park
2026-04-09,Tampa Pilots 2,San Francisco Owls 2,12,Tampa Park
2026-04-07,San Diego Falcons 2,Washington Aces 2,10,San Diego Park
2026-04-08,San Diego Falcons 2,Washington Aces 2,11,San Diego Park
2026-04-09,San Diego Falcons 2,Washington Aces 2,12,San Diego Park
2026-04-07,Atlanta Captains 2,St. Louis Owls,10,Atlanta Park
2026-04-08,Atlanta Captains 2,St. Louis Owls,11,Atlanta Park
2026-04-09,Atlanta Captains 2,St. Louis Owls,12,Atlanta Park
2026-04-07,Philadelphia Knights 2,Portland Captains,10,Philadelphia Park
2026-04-08,Philadelphia Knights 2,Portland Captains,11,Philadelphia Park
2026-04-09,Philadelphia Knights 2,Portland Captains,12,Philadelphia Park
2026-04-07,Seattle Storm 2,Baltimore Pilots,10,Seattle Park
2026-04-08,Seattle Storm 2,Baltimore Pilots,11,Seattle Park
2026-04-09,Seattle Storm 2,Baltimore Pilots,12,Seattle Park
2026-04-07,Boston Falcons,Austin Stars,10,Boston Park
2026-04-08,Boston Falcons,Austin Stars,11,Boston Park
2026-04-09,Boston Falcons,Austin Stars,12,Boston Park
2026-04-07,Minneapolis Guardians,Toronto Lions,10,Minneapolis Park
2026-04-08,Minneapolis Guardians,Toronto Lions,11,Minneapolis Park
2026-04-09,Minneapolis Guardians,Toronto Lions,12,Minneapolis Park
2026-04-07,Dallas Rockets,Pittsburgh Bears,10,Dallas Park
2026-04-08,Dallas Rockets,Pittsburgh Bears,11,Dallas Park
2026-04-09,Dallas Rockets,Pittsburgh Bears,12,Dallas Park
2026-04-07,Kansas City Wolves,Charlotte Storm,10,Kansas City Park
2026-04-08,Kansas City Wolves,Charlotte Storm,11,Kansas City Park
2026-04-09,Kansas City Wolves,Charlotte Storm,12,Kansas City Park
2026-04-07,Phoenix Hawks,Denver Comets,10,Phoenix Park
2026-04-08,Phoenix Hawks,Denver Comets,11,Phoenix Park
2026-04-09,Phoenix Hawks,Denver Comets,12,Phoenix Park
2026-04-07,Miami Aces,Houston Knights,10,Miami Park
2026-04-08,Miami Aces,Houston Knights,11,Miami Park
2026-04-09,Miami Aces,Houston Knights,12,Miami Park
2026-04-07,Los Angeles Sharks,Indianapolis Anchors,10,Los Angeles Park
2026-04-08,Los Angeles Sharks,Indianapolis Anchors,11,Los Angeles Park
2026-04-09,Los Angeles Sharks,Indianapolis Anchors,12,Los Angeles Park
2026-04-07,Chicago Dragons,Milwaukee Giants,10,Chicago Park
2026-04-08,Chicago Dragons,Milwaukee Giants,11,Chicago Park
2026-04-09,Chicago Dragons,Milwaukee Giants,12,Chicago Park
2026-04-11,Nashville Foxes,Cleveland Sharks 2,13,Nashville Park
2026-04-12,Nashville Foxes,Cleveland Sharks 2,14,Nashville Park
2026-04-13,Nashville Foxes,Cleveland Sharks 2,15,Nashville Park
2026-04-11,Detroit Bears 2,Tampa Pilots 2,13,Detroit Park
2026-04-12,Detroit Bears 2,Tampa Pilots 2,14,Detroit Park
2026-04-13,Detroit Bears 2,Tampa Pilots 2,15,Detroit Park
2026-04-11,New York Hawks 2,San Diego Falcons 2,13,New York Park
2026-04-12,New York Hawks 2,San Diego Falcons 2,14,New York Park
2026-04-13,New York Hawks 2,San Diego Falcons 2,15,New York Park
2026-04-11,San Francisco Owls 2,Atlanta Captains 2,13,San Francisco Park
2026-04-12,San Francisco Owls 2,Atlanta Captains 2,14,San Francisco Park
2026-04-13,San Francisco Owls 2,Atlanta Captains 2,15,San Francisco Park
2026-04-11,Washington Aces 2,Philadelphia Knights 2,13,Washington Park
2026-04-12,Washington Aces 2,Philadelphia Knights 2,14,Washington Park
2026-04-13,Washington Aces 2,Philadelphia Knights 2,15,Washington Park
2026-04-11,St. Louis Owls,Seattle Storm 2,13,St. Louis Park
2026-04-12,St. Louis Owls,Seattle Storm 2,14,St. Louis Park
2026-04-13,St. Louis Owls,Seattle Storm 2,15,St. Louis Park
2026-04-11,Portland Captains,Boston Falcons,13,Portland Park
2026-04-12,Portland Captains,Boston Falcons,14,Portland Park
2026-04-13,Portland Captains,Boston Falcons,15,Portland Park
2026-04-11,Baltimore Pilots,Minneapolis Guardians,13,Baltimore Park
2026-04-12,Baltimore Pilots,Minneapolis Guardians,14,Baltimore Park
2026-04-13,Baltimore Pilots,Minneapolis Guardians,15,Baltimore Park
2026-04-11,Austin Stars,Dallas Rockets,13,Austin Park
2026-04-12,Austin Stars,Dallas Rockets,14,Austin Park
2026-04-13,Austin Stars,Dallas Rockets,15,Austin Park
2026-04-11,Toronto Lions,Kansas City Wolves,13,Toronto Park
2026-04-12,Toronto Lions,Kansas City Wolves,14,Toronto Park
2026-04-13,Toronto Lions,Kansas City Wolves,15,Toronto Park
2026-04-11,Pittsburgh Bears,Phoenix Hawks,13,Pittsburgh Park
2026-04-12,Pittsburgh Bears,Phoenix Hawks,14,Pittsburgh Park
2026-04-13,Pittsburgh Bears,Phoenix Hawks,15,Pittsburgh Park
2026-04-11,Charlotte Storm,Miami Aces,13,Charlotte Park
2026-04-12,Charlotte Storm,Miami Aces,14,Charlotte Park
2026-04-13,Charlotte Storm,Miami Aces,15,Charlotte Park
2026-04-11,Denver Comets,Los Angeles Sharks,13,Denver Park
2026-04-12,Denver Comets,Los Angeles Sharks,14,Denver Park
2026-04-13,Denver Comets,Los Angeles Sharks,15,Denver Park
2026-04-11,Houston Knights,Chicago Dragons,13,Houston Park
2026-04-12,Houston Knights,Chicago Dragons,14,Houston Park
2026-04-13,Houston Knights,Chicago Dragons,15,Houston Park
2026-04-11,Indianapolis Anchors,Milwaukee Giants,13,Indianapolis Park
2026-04-12,Indianapolis Anchors,Milwaukee Giants,14,Indianapolis Park
2026-04-13,Indianapolis Anchors,Milwaukee Giants,15,Indianapolis Park
2026-04-15,Tampa Pilots 2,Nashville Foxes,16,Tampa Park
2026-04-16,Tampa Pilots 2,Nashville Foxes,17,Tampa Park
2026-04-17,Tampa Pilots 2,Nashville Foxes,18,Tampa Park
2026-04-15,San Diego Falcons 2,Cleveland Sharks 2,16,San Diego Park
2026-04-16,San Diego Falcons 2,Cleveland Sharks 2,17,San Diego Park
2026-04-17,San Diego Falcons 2,Cleveland Sharks 2,18,San Diego Park
2026-04-15,Atlanta Captains 2,Detroit Bears 2,16,Atlanta Park
2026-04-16,Atlanta Captains 2,Detroit Bears 2,17,Atlanta Park
2026-04-17,Atlanta Captains 2,Detroit Bears 2,18,Atlanta Park
2026-04-15,Philadelphia Knights 2,New York Hawks 2,16,Philadelphia Park
2026-04-16,Philadelphia Knights 2,New York Hawks 2,17,Philadelphia Park
2026-04-17,Philadelphia Knights 2,New York Hawks 2,18,Philadelphia Park
2026-04-15,Seattle Storm 2,San Francisco Owls 2,16,Seattle Park
2026-04-16,Seattle Storm 2,San Francisco Owls 2,17,Seattle Park
2026-04-17,Seattle Storm 2,San Francisco Owls 2,18,Seattle Park
2026-04-15,Boston Falcons,Washington Aces 2,16,Boston Park
2026-04-16,Boston Falcons,Washington Aces 2,17,Boston Park
2026-04-17,Boston Falcons,Washington Aces 2,18,Boston Park
2026-04-15,Minneapolis Guardians,St. Louis Owls,16,Minneapolis Park
2026-04-16,Minneapolis Guardians,St. Louis Owls,17,Minneapolis Park
2026-04-17,Minneapolis Guardians,St. Louis Owls,18,Minneapolis Park
2026-04-15,Dallas Rockets,Portland Captains,16,Dallas Park
2026-04-16,Dallas Rockets,Portland Captains,17,Dallas Park
2026-04-17,Dallas Rockets,Portland Captains,18,Dallas Park
2026-04-15,Kansas City Wolves,Baltimore Pilots,16,Kansas City Park
2026-04-16,Kansas City Wolves,Baltimore Pilots,17,Kansas City Park
2026-04-17,Kansas City Wolves,Baltimore Pilots,18,Kansas City Park
2026-04-15,Phoenix Hawks,Austin Stars,16,Phoenix Park
2026-04-16,Phoenix Hawks,Austin Stars,17,Phoenix Park
2026-04-17,Phoenix Hawks,Austin Stars,18,Phoenix Park
2026-04-15,Miami Aces,Toronto Lions,16,Miami Park
2026-04-16,Miami Aces,Toronto Lions,17,Miami Park
2026-04-17,Miami Aces,Toronto Lions,18,Miami Park
2026-04-15,Los Angeles Sharks,Pittsburgh Bears,16,Los Angeles Park
2026-04-16,Los Angeles Sharks,Pittsburgh Bears,17,Los Angeles Park
2026-04-17,Los Angeles Sharks,Pittsburgh Bears,18,Los Angeles Park
2026-04-15,Chicago Dragons,Charlotte Storm,16,Chicago Park
2026-04-16,Chicago Dragons,Charlotte Storm,17,Chicago Park
2026-04-17,Chicago Dragons,Charlotte Storm,18,Chicago Park
2026-04-15,Milwaukee Giants,Denver Comets,16,Milwaukee Park
2026-04-16,Milwaukee Giants,Denver Comets,17,Milwaukee Park
2026-04-17,Milwaukee Giants,Denver Comets,18,Milwaukee Park
2026-04-15,Indianapolis Anchors,Houston Knights,16,Indianapolis Park
2026-04-16,Indianapolis Anchors,Houston Knights,17,Indianapolis Park
2026-04-17,Indianapolis Anchors,Houston Knights,18,Indianapolis Park
2026-04-19,Nashville Foxes,San Diego Falcons 2,19,Nashville Park
2026-04-20,Nashville Foxes,San Diego Falcons 2,20,Nashville Park
2026-04-21,Nashville Foxes,San Diego Falcons 2,21,Nashville Park
2026-04-19,Tampa Pilots 2,Atlanta Captains 2,19,Tampa Park
2026-04-20,Tampa Pilots 2,Atlanta Captains 2,20,Tampa Park
2026-04-21,Tampa Pilots 2,Atlanta Captains 2,21,Tampa Park
2026-04-19,Cleveland Sharks 2,Philadelphia Knights 2,19,Cleveland Park
2026-04-20,Cleveland Sharks 2,Philadelphia Knights 2,20,Cleveland Park
2026-04-21,Cleveland Sharks 2,Philadelphia Knights 2,21,Cleveland Park
2026-04-19,Detroit Bears 2,Seattle Storm 2,19,Detroit Park
2026-04-20,Detroit Bears 2,Seattle Storm 2,20,Detroit Park
2026-04-21,Detroit Bears 2,Seattle Storm 2,21,Detroit Park
2026-04-19,New York Hawks 2,Boston Falcons,19,New York Park
2026-04-20,New York Hawks 2,Boston Falcons,20,New York Park
2026-04-21,New York Hawks 2,Boston Falcons,21,New York Park
2026-04-19,San Francisco Owls 2,Minneapolis Guardians,19,San Francisco Park
2026-04-20,San Francisco Owls 2,Minneapolis Guardians,20,San Francisco Park
2026-04-21,San Francisco Owls 2,Minneapolis Guardians,21,San Francisco Park
2026-04-19,Washington Aces 2,Dallas Rockets,19,Washington Park
2026-04-20,Washington Aces 2,Dallas Rockets,20,Washington Park
2026-04-21,Washington Aces 2,Dallas Rockets,21,Washington Park
2026-04-19,St. Louis Owls,Kansas City Wolves,19,St. Louis Park
2026-04-20,St. Louis Owls,Kansas City Wolves,20,St. Louis Park
2026-04-21,St. Louis Owls,Kansas City Wolves,21,St. Louis Park
2026-04-19,Portland Captains,Phoenix Hawks,19,Portland Park
2026-04-20,Portland Captains,Phoenix Hawks,20,Portland Park
2026-04-21,Portland Captains,Phoenix Hawks,21,Portland Park
2026-04-19,Baltimore Pilots,Miami Aces,19,Baltimore Park
2026-04-20,Baltimore Pilots,Miami Aces,20,Baltimore Park
2026-04-21,Baltimore Pilots,Miami Aces,21,Baltimore Park
2026-04-19,Austin Stars,Los Angeles Sharks,19,Austin Park
2026-04-20,Austin Stars,Los Angeles Sharks,20,Austin Park
2026-04-21,Austin Stars,Los Angeles Sharks,21,Austin Park
2026-04-19,Toronto Lions,Chicago Dragons,19,Toronto Park
2026-04-20,Toronto Lions,Chicago Dragons,20,Toronto Park
2026-04-21,Toronto Lions,Chicago Dragons,21,Toronto Park
2026-04-19,Pittsburgh Bears,Milwaukee Giants,19,Pittsburgh Park
2026-04-20,Pittsburgh Bears,Milwaukee Giants,20,Pittsburgh Park
2026-04-21,Pittsburgh Bears,Milwaukee Giants,21,Pittsburgh Park
2026-04-19,Charlotte Storm,Indianapolis Anchors,19,Charlotte Park
2026-04-20,Charlotte Storm,Indianapolis Anchors,20,Charlotte Park
2026-04-21,Charlotte Storm,Indianapolis Anchors,21,Charlotte Park
2026-04-19,Denver Comets,Houston Knights,19,Denver Park
2026-04-20,Denver Comets,Houston Knights,20,Denver Park
2026-04-21,Denver Comets,Houston Knights,21,Denver Park
2026-04-23,Atlanta Captains 2,Nashville Foxes,22,Atlanta Park
2026-04-24,Atlanta Captains 2,Nashville Foxes,23,Atlanta Park
2026-04-25,Atlanta Captains 2,Nashville Foxes,24,Atlanta Park
2026-04-23,Philadelphia Knights 2,San Diego Falcons 2,22,Philadelphia Park
2026-04-24,Philadelphia Knights 2,San Diego Falcons 2,23,Philadelphia Park
2026-04-25,Philadelphia Knights 2,San Diego Falcons 2,24,Philadelphia Park
2026-04-23,Seattle Storm 2,Tampa Pilots 2,22,Seattle Park
2026-04-24,Seattle Storm 2,Tampa Pilots 2,23,Seattle Park
2026-04-25,Seattle Storm 2,Tampa Pilots 2,24,Seattle Park
2026-04-23,Boston Falcons,Cleveland Sharks 2,22,Boston Park
2026-04-24,Boston Falcons,Cleveland Sharks 2,23,Boston Park
2026-04-25,Boston Falcons,Cleveland Sharks 2,24,Boston Park
2026-04-23,Minneapolis Guardians,Detroit Bears 2,22,Minneapolis Park
2026-04-24,Minneapolis Guardians,Detroit Bears 2,23,Minneapolis Park
2026-04-25,Minneapolis Guardians,Detroit Bears 2,24,Minneapolis Park
2026-04-23,Dallas Rockets,New York Hawks 2,22,Dallas Park
2026-04-24,Dallas Rockets,New York Hawks 2,23,Dallas Park
2026-04-25,Dallas Rockets,New York Hawks 2,24,Dallas Park
2026-04-23,Kansas City Wolves,San Francisco Owls 2,22,Kansas City Park
2026-04-24,Kansas City Wolves,San Francisco Owls 2,23,Kansas City Park
2026-04-25,Kansas City Wolves,San Francisco Owls 2,24,Kansas City Park
2026-04-23,Phoenix Hawks,Washington Aces 2,22,Phoenix Park
2026-04-24,Phoenix Hawks,Washington Aces 2,23,Phoenix Park
2026-04-25,Phoenix Hawks,Washington Aces 2,24,Phoenix Park
2026-04-23,Miami Aces,St. Louis Owls,22,Miami Park
2026-04-24,Miami Aces,St. Louis Owls,23,Miami Park
2026-04-25,Miami Aces,St. Louis Owls,24,Miami Park
2026-04-23,Los Angeles Sharks,Portland Captains,22,Los Angeles Park
2026-04-24,Los Angeles Sharks,Portland Captains,23,Los Angeles Park
2026-04-25,Los Angeles Sharks,Portland Captains,24,Los Angeles Park
2026-04-23,Chicago Dragons,Baltimore Pilots,22,Chicago Park
2026-04-24,Chicago Dragons,Baltimore Pilots,23,Chicago Park
2026-04-25,Chicago Dragons,Baltimore Pilots,24,Chicago Park
2026-04-23,Milwaukee Giants,Austin Stars,22,Milwaukee Park
2026-04-24,Milwaukee Giants,Austin Stars,23,Milwaukee Park
2026-04-25,Milwaukee Giants,Austin Stars,24,Milwaukee Park
2026-04-23,Indianapolis Anchors,Toronto Lions,22,Indianapolis Park
2026-04-24,Indianapolis Anchors,Toronto Lions,23,Indianapolis Park
2026-04-25,Indianapolis Anchors,Toronto Lions,24,Indianapolis Park
2026-04-23,Houston Knights,Pittsburgh Bears,22,Houston Park
2026-04-24,Houston Knights,Pittsburgh Bears,23,Houston Park
2026-04-25,Houston Knights,Pittsburgh Bears,24,Houston Park
2026-04-23,Denver Comets,Charlotte Storm,22,Denver Park
2026-04-24,Denver Comets,Charlotte Storm,23,Denver Park
2026-04-25,Denver Comets,Charlotte Storm,24,Denver Park
2026-04-27,Nashville Foxes,Philadelphia Knights 2,25,Nashville Park
2026-04-28,Nashville Foxes,Philadelphia Knights 2,26,Nashville Park
2026-04-29,Nashville Foxes,Philadelphia Knights 2,27,Nashville Park
2026-04-27,Atlanta Captains 2,Seattle Storm 2,25,Atlanta Park
2026-04-28,Atlanta Captains 2,Seattle Storm 2,26,Atlanta Park
2026-04-29,Atlanta Captains 2,Seattle Storm 2,27,Atlanta Park
2026-04-27,San Diego Falcons 2,Boston Falcons,25,San Diego Park
2026-04-28,San Diego Falcons 2,Boston Falcons,26,San Diego Park
2026-04-29,San Diego Falcons 2,Boston Falcons,27,San Diego Park
2026-04-27,Tampa Pilots 2,Minneapolis Guardians,25,Tampa Park
2026-04-28,Tampa Pilots 2,Minneapolis Guardians,26,Tampa Park
2026-04-29,Tampa Pilots 2,Minneapolis Guardians,27,Tampa Park
2026-04-27,Cleveland Sharks 2,Dallas Rockets,25,Cleveland Park
2026-04-28,Cleveland Sharks 2,Dallas Rockets,26,Cleveland Park
2026-04-29,Cleveland Sharks 2,Dallas Rockets,27,Cleveland Park
2026-04-27,Detroit Bears 2,Kansas City Wolves,25,Detroit Park
2026-04-28,Detroit Bears 2,Kansas City Wolves,26,Detroit Park
2026-04-29,Detroit Bears 2,Kansas City Wolves,27,Detroit Park
2026-04-27,New York Hawks 2,Phoenix Hawks,25,New York Park
2026-04-28,New York Hawks 2,Phoenix Hawks,26,New York Park
2026-04-29,New York Hawks 2,Phoenix Hawks,27,New York Park
2026-04-27,San Francisco Owls 2,Miami Aces,25,San Francisco Park
2026-04-28,San Francisco Owls 2,Miami Aces,26,San Francisco Park
2026-04-29,San Francisco Owls 2,Miami Aces,27,San Francisco Park
2026-04-27,Washington Aces 2,Los Angeles Sharks,25,Washington Park
2026-04-28,Washington Aces 2,Los Angeles Sharks,26,Washington Park
2026-04-29,Washington Aces 2,Los Angeles Sharks,27,Washington Park
2026-04-27,St. Louis Owls,Chicago Dragons,25,St. Louis Park
2026-04-28,St. Louis Owls,Chicago Dragons,26,St. Louis Park
2026-04-29,St. Louis Owls,Chicago Dragons,27,St. Louis Park
2026-04-27,Portland Captains,Milwaukee Giants,25,Portland Park
2026-04-28,Portland Captains,Milwaukee Giants,26,Portland Park
2026-04-29,Portland Captains,Milwaukee Giants,27,Portland Park
